映画館ID,映画館名,スクリーンID,スクリーン,対象座席列,特別座席名称,詳細・備考
C0009,TOHOシネマズ六本木ヒルズ,C0009-07,スクリーン7 (TCX),G列,プレミアラグジュアリーシート,"＋3,000円 / 電動リクライニング・フットレスト(革製)"
C0009,TOHOシネマズ六本木ヒルズ,C0009-07,スクリーン7 (TCX),E列、F列、H列,プレミアボックスシート,"＋1,000円 / セミプライベート空間"
C0009,TOHOシネマズ六本木ヒルズ,C0009-07,スクリーン7 (TCX),A列,フロントリクライニングシート,最前列 / リクライニング可(通常料金)
C0009,TOHOシネマズ六本木ヒルズ,C0009-01,スクリーン1,H列,プレミアボックスシート,"＋1,000円 / セミプライベート空間"
C0009,TOHOシネマズ六本木ヒルズ,C0009-02,スクリーン2,N列,プレミアボックスシート,"＋1,000円 / セミプライベート空間"
C0009,TOHOシネマズ六本木ヒルズ,C0009-03,スクリーン3,G列,プレミアボックスシート,"＋1,000円 / セミプライベート空間"
C0009,TOHOシネマズ六本木ヒルズ,C0009-04,スクリーン4,F列,プレミアボックスシート,"＋1,000円 / セミプライベート空間"
C0009,TOHOシネマズ六本木ヒルズ,C0009-05,スクリーン5,G列,プレミアボックスシート,"＋1,000円 / セミプライベート空間"
C0009,TOHOシネマズ六本木ヒルズ,C0009-06,スクリーン6,G列,プレミアボックスシート,"＋1,000円 / セミプライベート空間"
C0009,TOHOシネマズ六本木ヒルズ,C0009-09,スクリーン9,H列,プレミアボックスシート,"＋1,000円 / セミプライベート空間"
C0014,TOHOシネマズ日本橋,C0014-07,スクリーン7 (TCX),H列、I列,プレミアボックスシート,"＋1,000円 / セミプライベート空間"
C0014,TOHOシネマズ日本橋,C0014-08,スクリーン8 (TCX),G列,プレミアボックスシート,"＋1,000円 / セミプライベート空間"
C0041,kino cinema立川高島屋,C0041-03,シアター3,B列、C列,プラチナ・プレミアムシート,＋700円 / 電動リクライニング・フットレスト・テーブル
C0006,109シネマズプレミアム新宿,C0006-01,シアター1,H列,CLASS S,"＋2,000円(通常比) / 全席プレミアム・電動リクライニング・ラウンジ使用権"
C0006,109シネマズプレミアム新宿,C0006-02,シアター2,H列,CLASS S,"＋2,000円(通常比) / 全席プレミアム・電動リクライニング・ラウンジ使用権"
C0006,109シネマズプレミアム新宿,C0006-03,シアター3 (Dolby Atmos),F列、G列,CLASS S,"＋2,000円(通常比) / 全席プレミアム・電動リクライニング・ラウンジ使用権"
C0006,109シネマズプレミアム新宿,C0006-04,シアター4,H列,CLASS S,"＋2,000円(通常比) / 全席プレミアム・電動リクライニング・ラウンジ使用権"
C0006,109シネマズプレミアム新宿,C0006-05,シアター5,H列,CLASS S,"＋2,000円(通常比) / 全席プレミアム・電動リクライニング・ラウンジ使用権"
C0006,109シネマズプレミアム新宿,C0006-06,シアター6 (ScreenX),H列、I列,CLASS S,"＋2,000円(通常比) / 全席プレミアム・電動リクライニング・ラウンジ使用権"
C0006,109シネマズプレミアム新宿,C0006-07,シアター7,H列,CLASS S,"＋2,000円(通常比) / 全席プレミアム・電動リクライニング・ラウンジ使用権"
C0006,109シネマズプレミアム新宿,C0006-08,シアター8,H列,CLASS S,"＋2,000円(通常比) / 全席プレミアム・電動リクライニング・ラウンジ使用権"
C0006,109シネマズプレミアム新宿,C0006-01,シアター1,A列〜G列,CLASS A,＋0円(通常比) / 全席プレミアム・リクライニング
C0006,109シネマズプレミアム新宿,C0006-02,シアター2,A列〜G列,CLASS A,＋0円(通常比) / 全席プレミアム・リクライニング
C0006,109シネマズプレミアム新宿,C0006-03,シアター3 (Dolby Atmos),A列〜E列、H列〜J列,CLASS A,＋0円(通常比) / 全席プレミアム・リクライニング
C0006,109シネマズプレミアム新宿,C0006-04,シアター4,A列〜G列,CLASS A,＋0円(通常比) / 全席プレミアム・リクライニング
C0006,109シネマズプレミアム新宿,C0006-05,シアター5,A列〜G列,CLASS A,＋0円(通常比) / 全席プレミアム・リクライニング
C0006,109シネマズプレミアム新宿,C0006-06,シアター6 (ScreenX),A列〜G列、J列〜K列,CLASS A,＋0円(通常比) / 全席プレミアム・リクライニング
C0006,109シネマズプレミアム新宿,C0006-07,シアター7,A列〜G列,CLASS A,＋0円(通常比) / 全席プレミアム・リクライニング
C0006,109シネマズプレミアム新宿,C0006-08,シアター8,A列〜G列,CLASS A,＋0円(通常比) / 全席プレミアム・リクライニング
C0013,T・ジョイPRINCE品川,C0013-01,シアター1,J列,プレミアシート,"＋1,000円 / セミプライベート空間
座席を一席ずつに区切った特別な革張のシート"
C0013,T・ジョイPRINCE品川,C0013-04,シアター4,G列,プレミアシート,"＋1,000円 / セミプライベート空間
座席を一席ずつに区切った特別な革張のシート"
C0013,T・ジョイPRINCE品川,C0013-11,シアター11 (IMAX),M列,プレミアシート,"＋1,000円 / セミプライベート空間
座席を一席ずつに区切った特別な革張のシート"
C0013,T・ジョイPRINCE品川,C0013-01,シアター1,K列,ペアシート,＋0円(通常比)　1席ずつの販売
C0013,T・ジョイPRINCE品川,C0013-02,シアター2,K列,ペアシート,＋0円(通常比)　1席ずつの販売
C0013,T・ジョイPRINCE品川,C0013-03,シアター3,K列,ペアシート,＋0円(通常比)　1席ずつの販売
C0013,T・ジョイPRINCE品川,C0013-04,シアター4,K列,ペアシート,＋0円(通常比)　1席ずつの販売
C0013,T・ジョイPRINCE品川,C0013-05,シアター5,K列,ペアシート,＋0円(通常比)　1席ずつの販売
C0013,T・ジョイPRINCE品川,C0013-06,シアター6,K列,ペアシート,＋0円(通常比)　1席ずつの販売
C0013,T・ジョイPRINCE品川,C0013-07,シアター7,K列,ペアシート,＋0円(通常比)　1席ずつの販売
C0013,T・ジョイPRINCE品川,C0013-08,シアター8,K列,ペアシート,＋0円(通常比)　1席ずつの販売
C0013,T・ジョイPRINCE品川,C0013-09,シアター9,K列,ペアシート,＋0円(通常比)　1席ずつの販売
C0013,T・ジョイPRINCE品川,C0013-10,シアター10,K列,ペアシート,＋0円(通常比)　1席ずつの販売
C0013,T・ジョイPRINCE品川,C0013-11,シアター11 (IMAX),N列,ペアシート,＋0円(通常比)　1席ずつの販売
C0011,ユナイテッド・シネマ豊洲,C0011-01,スクリーン1,K列、I列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0011,ユナイテッド・シネマ豊洲,C0011-02,スクリーン2,K列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0011,ユナイテッド・シネマ豊洲,C0011-03,スクリーン3,J列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0011,ユナイテッド・シネマ豊洲,C0011-04,スクリーン4,J列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0011,ユナイテッド・シネマ豊洲,C0011-05,スクリーン5,I列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0011,ユナイテッド・シネマ豊洲,C0011-06,スクリーン6,I列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0011,ユナイテッド・シネマ豊洲,C0011-08,スクリーン8,K列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0011,ユナイテッド・シネマ豊洲,C0011-09,スクリーン9,J列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0011,ユナイテッド・シネマ豊洲,C0011-10,スクリーン10 (OCEAN),M列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0011,ユナイテッド・シネマ豊洲,C0011-11,スクリーン11,J列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0011,ユナイテッド・シネマ豊洲,C0011-12,スクリーン12,J列,プレミア・ペアシート,"平日￥5,500 休日￥6,500/ 2名掛けソファ・専用ラウンジ利用（ワンドリンク付き）"
C0029,ユナイテッド・シネマ アクアシティお台場,C0029-01,スクリーン1,I列、M列,ペアシート,追加料金なし、2席同時購入に限る
C0029,ユナイテッド・シネマ アクアシティお台場,C0029-03,スクリーン3,H列,FLEXOUND席あり,＋200円 スピーカーが内蔵された椅子から音と振動が発生
C0029,ユナイテッド・シネマ アクアシティお台場,C0029-04,スクリーン4,G列,FLEXOUND席あり,＋200円 スピーカーが内蔵された椅子から音と振動が発生
C0012,109シネマズ二子玉川,C0012-01,シアター1,H列,エグゼクティブシート,会員無料(通常＋0円) / リクライニング・専用テーブル
C0012,109シネマズ二子玉川,C0012-02,シアター2,J列,エグゼクティブシート,会員無料(通常＋0円) / リクライニング・専用テーブル
C0012,109シネマズ二子玉川,C0012-03,シアター3,H列,エグゼクティブシート,会員無料(通常＋0円) / リクライニング・専用テーブル
C0012,109シネマズ二子玉川,C0012-04,シアター4,F列,エグゼクティブシート,会員無料(通常＋0円) / リクライニング・専用テーブル
C0012,109シネマズ二子玉川,C0012-05,シアター5,D列,エグゼクティブシート,会員無料(通常＋0円) / リクライニング・専用テーブル
C0012,109シネマズ二子玉川,C0012-06,シアター6,D列,エグゼクティブシート,会員無料(通常＋0円) / リクライニング・専用テーブル
C0012,109シネマズ二子玉川,C0012-07,シアター7,L列、M列,グランド・エグゼクティブシート,"＋3,000円 / 電動リクライニング・専用ハンガー・ラウンジ利用"
C0012,109シネマズ二子玉川,C0012-07,シアター7,H列、I列,エグゼクティブシート,会員無料(通常＋0円) / リクライニング・専用テーブル
C0012,109シネマズ二子玉川,C0012-08,シアター8,D列,エグゼクティブシート,会員無料(通常＋0円) / リクライニング・専用テーブル
C0012,109シネマズ二子玉川,C0012-09,シアター9,F列,エグゼクティブシート,会員無料(通常＋0円) / リクライニング・専用テーブル
C0012,109シネマズ二子玉川,C0012-10,シアター10 (IMAX),H列,エグゼクティブシート,会員無料(通常＋0円) / リクライニング・専用テーブル
C0012,109シネマズ二子玉川,C0012-10,シアター10 (IMAX),G列,グランド・エグゼクティブシート,"＋3,000円 / 電動リクライニング・専用ハンガー・ラウンジ利用"
